n_nodes,influence,communities,nodes
7.999999999999995,200.92,0.2280295988144383,"[517, 145, 1183, 4356, 408, 699, 2013, 255]"
80.0,767.57,0.03940275060958265,"[3712, 4225, 2, 4355, 4356, 517, 773, 7, 1287, 4233, 5515, 902, 1425, 915, 1687, 408, 538, 1052, 29, 30, 1183, 3885, 1457, 1067, 1709, 439, 942, 2489, 690, 286, 2993, 796, 59, 699, 5181, 190, 959, 1853, 958, 322, 1734, 5191, 1350, 2374, 2634, 734, 469, 220, 1117, 2377, 2013, 3934, 483, 229, 230, 1510, 105, 2665, 877, 6129, 1146, 255, 747, 1277, 775, 1806, 2856, 331, 1362, 350, 886, 1404, 1405, 1409, 1421, 1231, 934, 990, 1018, 511]"
53.0,644.31,0.13297684416158284,"[3712, 4225, 2, 2564, 517, 4356, 7, 902, 4233, 1163, 775, 1806, 196, 656, 145, 915, 1687, 408, 538, 666, 1052, 410, 30, 1183, 160, 796, 286, 934, 1195, 2735, 1457, 690, 699, 60, 5181, 190, 1853, 1089, 1221, 2374, 5191, 2377, 2634, 331, 207, 1362, 220, 1117, 2013, 483, 747, 1146, 1404]"
84.0,796.78,0.07126200253027726,"[3712, 4225, 2, 4355, 4356, 517, 773, 7, 1287, 4233, 5515, 538, 1425, 915, 1687, 408, 902, 1052, 29, 30, 1183, 3885, 1457, 1067, 1709, 439, 942, 2489, 2993, 59, 690, 5181, 959, 699, 1853, 190, 286, 1734, 958, 322, 5191, 796, 1350, 2374, 2634, 734, 1117, 469, 220, 2377, 229, 3934, 483, 2013, 230, 1510, 105, 2665, 877, 6129, 1146, 255, 747, 1274, 1277, 784, 5928, 892, 410, 1463, 1498, 502, 2550, 1404, 508, 4606, 775, 511, 1806, 350, 934, 331, 1362, 990]"
94.0,836.04,0.1557924682227101,"[2, 2564, 517, 7, 511, 534, 538, 1052, 30, 31, 5666, 1065, 1067, 1072, 59, 60, 5181, 1089, 5191, 2634, 1117, 2665, 105, 1643, 3192, 1146, 3712, 4225, 4233, 1163, 656, 145, 1687, 666, 1183, 160, 1195, 1709, 2735, 1200, 690, 699, 190, 194, 1221, 207, 220, 229, 747, 1277, 255, 4355, 4356, 773, 775, 1289, 1806, 796, 286, 2856, 3885, 1853, 2374, 2377, 331, 1362, 350, 877, 886, 1404, 1405, 902, 1421, 1425, 408, 410, 934, 428, 942, 2993, 955, 958, 959, 962, 469, 2013, 990, 483, 1011, 502, 1018, 4606, 1535, 2094]"
18.000000000000004,355.96,0.1647401630826435,"[3712, 4225, 2564, 517, 2374, 7, 775, 1052, 31, 54, 30, 2090, 220, 408, 1018, 699, 2013, 286]"
99.0,855.93,0.14027622486700075,"[322, 229, 3192, 286, 2013, 5191, 4606, 2374, 1200, 255, 1011, 511, 502, 934, 1195, 690, 955, 959, 220, 1421, 1183, 3885, 469, 1405, 2, 775, 105, 1806, 1510, 6129, 2550, 1527, 2564, 508, 796, 5683, 990, 1018, 517, 877, 2993, 538, 7, 1072, 207, 534, 886, 408, 1052, 699, 30, 3712, 5666, 350, 1065, 483, 2735, 1067, 1535, 1117, 59, 60, 5181, 962, 1089, 2634, 2665, 1643, 1146, 4225, 1687, 325, 958, 942, 1163, 656, 145, 666, 160, 1709, 902, 190, 1425, 194, 410, 1221, 773, 747, 1277, 4355, 4356, 1289, 2856, 1853, 2377, 331, 1362, 1404, 428]"
90.0,823.37,0.15196587926889127,"[2, 4356, 517, 902, 7, 144, 1421, 775, 1052, 29, 408, 30, 2564, 2374, 1065, 1067, 1535, 1072, 59, 60, 5181, 1089, 5191, 2634, 1117, 2665, 105, 1643, 3192, 1146, 3712, 4225, 4233, 1163, 656, 145, 1687, 666, 1183, 160, 1195, 1709, 2735, 690, 699, 190, 1221, 207, 220, 229, 747, 1277, 255, 4355, 773, 1558, 796, 286, 2856, 1853, 322, 2377, 331, 1362, 350, 877, 2180, 1404, 1405, 1200, 1425, 410, 934, 942, 2993, 958, 469, 2013, 990, 483, 1018, 511, 3885, 955, 959, 962, 1011, 502, 4606, 579]"
19.000000000000004,318.98,0.04481779982049294,"[3712, 4225, 2564, 517, 2374, 7, 775, 1082, 796, 6797, 144, 408, 58, 699, 1084, 2013, 286, 31, 6689]"
100.0,861.27,0.10825305136602381,"[3712, 4225, 2564, 502, 666, 2, 1643, 4355, 4356, 959, 7, 1289, 1806, 517, 1163, 534, 4233, 773, 538, 1052, 408, 775, 29, 30, 656, 145, 31, 1687, 546, 5666, 796, 2856, 1065, 2090, 1067, 1072, 1074, 286, 5683, 3885, 160, 59, 60, 5181, 1195, 1089, 2634, 1117, 2735, 1853, 2665, 1709, 322, 1146, 2374, 2377, 126, 331, 690, 1362, 699, 190, 2013, 990, 483, 350, 194, 1221, 207, 220, 747, 1277, 886, 877, 1404, 892, 902, 5515, 1425, 915, 410, 936, 428, 942, 1457, 2993, 439, 1463, 2489, 958, 962, 1510, 6129, 1011, 2550, 1527, 1018, 508, 1535, 469]"
64.0,693.24,0.024323053608406586,"[3712, 4225, 2, 4355, 4356, 517, 773, 7, 1287, 4233, 902, 5515, 775, 1421, 255, 1425, 915, 1687, 408, 410, 538, 1052, 29, 30, 796, 1183, 286, 934, 1067, 1709, 942, 3885, 1457, 690, 2993, 439, 2489, 59, 699, 5181, 190, 959, 1853, 958, 322, 1734, 1350, 5191, 2374, 2634, 2377, 220, 2013, 734, 3934, 990, 483, 229, 230, 1510, 877, 6129, 1018, 1535]"
71.0,738.03,0.059172097260618894,"[3712, 4225, 2, 4355, 4356, 517, 773, 7, 1287, 848, 902, 5515, 775, 1806, 1425, 915, 1687, 408, 538, 1052, 29, 30, 1183, 286, 796, 2856, 1067, 3885, 1709, 942, 690, 59, 699, 5181, 2374, 5191, 2377, 2634, 2013, 1117, 105, 747, 877, 1018, 1405, 1457, 2993, 439, 2489, 190, 959, 1853, 958, 322, 1734, 1350, 469, 331, 1362, 220, 734, 3934, 350, 483, 229, 230, 1510, 2665, 6129, 886, 1146]"
