heuristic,model,graph,seed,k,spread,community,fairness,budget,time
CELF,WC,wiki-vote_di,0,32,0.06382303990942542,0.058821406558920694,0.05456422855162495,0.05185854079806182,0.012757169544296629
CELF,WC,wiki-vote_di,0,33,0.06382303990942542,0.058821406558920694,0.05456422855162495,0.05185854079806182,0.012757169544296629
CELF,WC,wiki-vote_di,0,34,0.06494296631757714,0.05985227280778675,0.05549471509984236,0.052497310960490505,0.012981154825926971
CELF,WC,wiki-vote_di,0,35,0.0658674639116898,0.06070305290310597,0.0562556613262693,0.05301284387037013,0.013166054344749503
CELF,WC,wiki-vote_di,0,36,0.06637287008208322,0.06118088891792497,0.05666751198809562,0.05329139550298026,0.01326713557882819
CELF,WC,wiki-vote_di,0,37,0.06637287008208322,0.06118088891792497,0.05666751198809562,0.05329139550298026,0.01326713557882819
CELF,WC,wiki-vote_di,0,38,0.06647728559298047,0.061276062558816013,0.05675082352114049,0.05334795858585065,0.01328801868100764
CELF,WC,wiki-vote_di,0,39,0.06671727993206907,0.06149834870562823,0.05694467629913294,0.05347647718125025,0.01333601754882536
CELF,WC,wiki-vote_di,0,40,0.06824063119162185,0.06288826180780638,0.05816539273232718,0.0542751957833377,0.013640687800735915
CELF,WC,wiki-vote_di,0,41,0.06876166147749788,0.06337138657074327,0.058580316419862666,0.0545454655281417,0.013744893857911122
CELF,WC,wiki-vote_di,0,42,0.06965472686102463,0.06420497234857936,0.05928579014543591,0.05500503450177492,0.013923506934616471
CELF,WC,wiki-vote_di,0,43,0.06965472686102463,0.06420509445362982,0.05928579014543591,0.05500503450177492,0.013923506934616471
CELF,WC,wiki-vote_di,0,44,0.06976647325219362,0.06430732360190361,0.05937282811711239,0.05506061111774008,0.013945856212850268
CELF,WC,wiki-vote_di,0,45,0.07059466459099915,0.06506960698322853,0.06002379422514565,0.055467132409716714,0.014111494480611378
CELF,WC,wiki-vote_di,0,46,0.07059466459099915,0.06508044191215312,0.060026453551627126,0.055467132409716714,0.014111494480611378
CELF,WC,wiki-vote_di,0,47,0.07095994905179734,0.06542605755630711,0.060318508857422445,0.055641560259622275,0.014184551372771014
CELF,WC,wiki-vote_di,0,48,0.07189971695442968,0.06637800425916976,0.06105708764270879,0.056082558869407856,0.014372504953297479
CELF,WC,wiki-vote_di,0,49,0.07189971695442968,0.06637800425916976,0.061057572619519405,0.056082558869407856,0.014372504953297479
CELF,WC,wiki-vote_di,0,50,0.07254010755731673,0.06696993143775476,0.06156065631909331,0.056375996583434285,0.014500583073874891
CELF,WC,wiki-vote_di,0,51,0.07333966883668272,0.06770744280054433,0.0621853863433496,0.05673385201723417,0.014660495329748087
CELF,WC,wiki-vote_di,0,52,0.07350338239456554,0.06785711758179279,0.062312572082801915,0.05680531009052281,0.014693238041324651
CELF,WC,wiki-vote_di,0,53,0.07353198414944807,0.06788600414497295,0.06233475428812325,0.05681771115984262,0.014698958392301158
CELF,WC,wiki-vote_di,0,54,0.07407557316727995,0.06838695391785037,0.06275403924901424,0.05705119591981517,0.014807676195867533
CELF,WC,wiki-vote_di,0,55,0.07422013869232948,0.06852117365764133,0.0628652806912652,0.05711319701545186,0.01483658930087744
CELF,WC,wiki-vote_di,0,56,0.07440383526747807,0.06869046595463428,0.06307256844226922,0.05719126904814359,0.01487332861590716
CELF,WC,wiki-vote_di,0,57,0.07506958675346731,0.06930299441666202,0.06360058896579729,0.057471303960548795,0.015006478913105008
CELF,WC,wiki-vote_di,0,58,0.07506958675346731,0.06930466381541008,0.06360058896579729,0.057471303960548795,0.015006478913105008
CELF,WC,wiki-vote_di,0,59,0.07523031418058308,0.06945891644217986,0.06372699865919462,0.05753748109501867,0.015038624398528162
CELF,WC,wiki-vote_di,0,60,0.07523031418058308,0.06945891644217986,0.06372699865919462,0.05753748109501867,0.015038624398528162
CELF,WC,wiki-vote_di,0,61,0.07596218511180301,0.07013345720896877,0.06429770379248613,0.05783299084839626,0.015184998584772146
CELF,WC,wiki-vote_di,0,62,0.07597347863005943,0.07014383248014092,0.06430646440775276,0.0578374986155821,0.015187257288423434
CELF,WC,wiki-vote_di,0,63,0.07601955844891027,0.07019553075522741,0.06436674024012287,0.05785572428957561,0.015196473252193601
CELF,WC,wiki-vote_di,0,64,0.07650458533823945,0.07066821880209709,0.06475279006896684,0.0580455635566027,0.015293478630059436
CELF,WC,wiki-vote_di,0,65,0.07650458533823945,0.07066821880209709,0.06475279006896684,0.0580455635566027,0.015293478630059436
CELF,WC,wiki-vote_di,0,66,0.07692369091423719,0.07105607531100736,0.06508337556249924,0.058207060949491296,0.015377299745258984
CELF,WC,wiki-vote_di,0,67,0.07692369091423719,0.07105607531100736,0.06508337556249924,0.058207060949491296,0.015377299745258984
CELF,WC,wiki-vote_di,0,68,0.07692369091423719,0.07105607531100736,0.06508337556249924,0.058207060949491296,0.015377299745258984
CELF,WC,wiki-vote_di,0,69,0.07699388621568072,0.07112076333494127,0.06513842661529685,0.05823328663111877,0.01539133880554769
CELF,WC,wiki-vote_di,0,70,0.07748383809793377,0.07159530952299739,0.0655697803961995,0.05841352608511309,0.015489329181998298
CELF,WC,wiki-vote_di,0,71,0.07750476931786017,0.07161468274798703,0.0655865218346148,0.05842118179778827,0.015493515425983581
CELF,WC,wiki-vote_di,0,72,0.07781306255307105,0.07189926646682902,0.0658317977014706,0.058532283240561346,0.015555174073025754
CELF,WC,wiki-vote_di,0,73,0.07798577696009057,0.07205976852004299,0.06596883866143623,0.05859363334052266,0.01558971695442966
CELF,WC,wiki-vote_di,0,74,0.07813112086045854,0.07219464553890483,0.06608358138585761,0.05864384324111603,0.015618785734503251
CELF,WC,wiki-vote_di,0,75,0.07813112086045854,0.07219518217319189,0.06608358138585761,0.05864384324111603,0.015618785734503251
CELF,WC,wiki-vote_di,0,76,0.07831555335409002,0.0723653276604523,0.06622769401234281,0.05870601528787173,0.015655672233229546
CELF,WC,wiki-vote_di,0,77,0.07834810359467874,0.07239708377449136,0.06625889762701972,0.05871682217321458,0.015662182281347293
CELF,WC,wiki-vote_di,0,78,0.07834810359467874,0.07239708377449136,0.06625889762701972,0.05871682217321458,0.015662182281347293
CELF,WC,wiki-vote_di,0,79,0.07845301443532408,0.07249440445822342,0.06634170611501837,0.058751171612431694,0.015683164449476362
CELF,WC,wiki-vote_di,0,80,0.07852207755448627,0.07255838629427691,0.06639612240511979,0.058773444604595326,0.0156969770733088
CELF,WC,wiki-vote_di,0,81,0.07865921313331446,0.07269077574387142,0.06650530938131209,0.058816957927380384,0.015724404189074438
CELF,WC,wiki-vote_di,0,82,0.07872264364562695,0.07274966648260923,0.06655530573627977,0.058836863851730654,0.015737090291536932
CELF,WC,wiki-vote_di,0,83,0.07872264364562695,0.07274967575398426,0.06655530573627977,0.058836863851730654,0.015737090291536932
CELF,WC,wiki-vote_di,0,84,0.078781517124257,0.0728042725482836,0.06660168592757337,0.058854830799211576,0.015748864987262946
CELF,WC,wiki-vote_di,0,85,0.07890400509482026,0.07292493837785066,0.06670627636045814,0.058891912822004934,0.0157733625813756
CELF,WC,wiki-vote_di,0,86,0.07893035663741862,0.07295057914297466,0.06672739574525513,0.05889981582749979,0.01577863288989527
CELF,WC,wiki-vote_di,0,87,0.07901425134446646,0.07309805830518701,0.06683943968984105,0.05892460932818389,0.015795411831304836
CELF,WC,wiki-vote_di,0,88,0.07906519954712708,0.07314561613530475,0.06688088113852238,0.058939574746008666,0.015805601471836964
CELF,WC,wiki-vote_di,0,89,0.07921994056043023,0.07331722917360259,0.06704688917351564,0.058983968023586034,0.01583654967449759
CELF,WC,wiki-vote_di,0,90,0.07921994056043023,0.0733579268270459,0.06704688917351564,0.058983968023586034,0.01583654967449759
CELF,WC,wiki-vote_di,0,91,0.07927993206906313,0.07341406437879835,0.06710359915415869,0.05900065169613246,0.01584854797622417
CELF,WC,wiki-vote_di,0,92,0.07927993206906313,0.07341406437879835,0.06711298024045115,0.05900065169613246,0.01584854797622417
CELF,WC,wiki-vote_di,0,93,0.07929726861024625,0.07343040923426086,0.06713441508449967,0.05900530884746527,0.015852015284460796
CELF,WC,wiki-vote_di,0,94,0.07940290121709595,0.07352930767150237,0.0672223126813598,0.05903310929467362,0.015873141805830736
CELF,WC,wiki-vote_di,0,95,0.07944146617605435,0.07357539244750469,0.06725431738355364,0.05904312190990567,0.015880854797622416
CELF,WC,wiki-vote_di,0,96,0.07944146617605435,0.07357600051343882,0.06726737738417357,0.05904312190990567,0.015880854797622416
CELF,WC,wiki-vote_di,0,97,0.07946362864421172,0.07359687399626269,0.0672860677546337,0.05904849123321113,0.01588528729125389
CELF,WC,wiki-vote_di,0,98,0.07947121426549675,0.07360399612044226,0.0672996491825943,0.05905028520734332,0.015886804415510897
CELF,WC,wiki-vote_di,0,99,0.0794773988112086,0.0736097961909952,0.06730489094044709,0.05905173651939384,0.015888041324653268
CELF,WC,wiki-vote_di,1,0,0.007278516841211435,0.0037730298098634157,0.001218754082671894,0.007084558803300951,0.0014557033682422867
CELF,WC,wiki-vote_di,1,1,0.013217676195867533,0.01028279536502084,0.0048830238301929025,0.012675232945123776,0.002643535239173506
CELF,WC,wiki-vote_di,1,2,0.01858784319275403,0.015935247805254647,0.010695833314698564,0.01758931517590213,0.003717568638550805
CELF,WC,wiki-vote_di,1,3,0.02287500707613926,0.020320318783909892,0.013023148908031443,0.021393515794180373,0.004575001415227851
CELF,WC,wiki-vote_di,1,4,0.0252621001981319,0.022425600815674518,0.014328383755869933,0.02346143944630756,0.005052420039626379
CELF,WC,wiki-vote_di,1,5,0.02812581375601472,0.024969046484409826,0.016209761644659773,0.025909286990422806,0.005625162751202942
CELF,WC,wiki-vote_di,1,6,0.03134251344466459,0.027904735850137613,0.018025034108462085,0.028612828361336697,0.006268502688932917
CELF,WC,wiki-vote_di,1,7,0.033893235210868955,0.030132434647853375,0.019531264598344075,0.03072900711091848,0.006778647042173789
CELF,WC,wiki-vote_di,1,8,0.036505066515709034,0.03241510069842575,0.020996320214641238,0.03283799391233766,0.007301013303141805
CELF,WC,wiki-vote_di,1,9,0.038391777526181725,0.034181809511094396,0.022096460507583956,0.03433730729943483,0.007678355505236344
CELF,WC,wiki-vote_di,1,10,0.04141045853382395,0.0369461484922081,0.02380954944169022,0.03670162678314801,0.008282091706764787
CELF,WC,wiki-vote_di,1,11,0.043083144636286444,0.038801361135667484,0.024745723479334354,0.03797578861265095,0.008616628927257286
CELF,WC,wiki-vote_di,1,12,0.04538090857628077,0.040854455095546416,0.026111454883360648,0.03969857590070709,0.009076181715256152
CELF,WC,wiki-vote_di,1,13,0.04550772714407019,0.04170946010864689,0.033596179307250236,0.03979260503247349,0.009101545428814035
CELF,WC,wiki-vote_di,1,14,0.0479224455137277,0.04392187299963253,0.03538841759701383,0.04155163755546731,0.009584489102745538
CELF,WC,wiki-vote_di,1,15,0.04870796773280498,0.04465087638780971,0.03599346477781634,0.042117381464845796,0.009741593546560994
CELF,WC,wiki-vote_di,1,16,0.050207033682422866,0.0460201331646765,0.03711635773363295,0.04317998599207654,0.01004140673648457
CELF,WC,wiki-vote_di,1,17,0.05216868100764223,0.04781059544156672,0.03856366488499083,0.04455719158676735,0.010433736201528444
CELF,WC,wiki-vote_di,1,18,0.053006552504953286,0.04858810449057882,0.03918029374089669,0.0451312486563152,0.010601310500990654
