heuristic,model,graph,seed,k,influence,seed_set,n_nodes,community,fairness,budget,time
CELF,WC,gnutella_di,1,61,0.3468899825369106,0.39,0.009842832195586602,0.9173958973295957,0.7173013732243427,0.4854368932038835,0.0
CELF,WC,gnutella_di,1,62,0.35357517066200983,0.38,0.010001587553579933,0.9166996184824131,0.7160387476999486,0.4779686333084391,0.0
CELF,WC,gnutella_di,1,63,0.35319415780282587,0.37,0.010160342911573266,0.9200230575248992,0.7501131215948837,0.4705003734129948,0.0
CELF,WC,gnutella_di,1,64,0.3565661216066043,0.36,0.010319098269566599,0.9175504366039603,0.7472802256365407,0.4637789395070948,0.0
CELF,WC,gnutella_di,1,65,0.3585267502778219,0.35,0.01047785362755993,0.9221511176100653,0.7473245844417811,0.4563106796116505,0.0
CELF,WC,gnutella_di,1,66,0.35885537386886807,0.34,0.010636608985553263,0.9212822967456249,0.7477247652384457,0.4488424197162061,0.0
CELF,WC,gnutella_di,1,67,0.3615542149547547,0.33,0.010795364343546594,0.92353587054404,0.7505792524446003,0.4413741598207618,0.0
CELF,WC,gnutella_di,1,68,0.36426893157644075,0.32,0.010954119701539927,0.9214366822853133,0.7448826335097717,0.43390589992531736,0.0
CELF,WC,gnutella_di,1,69,0.36855215113510087,0.31,0.01111287505953326,0.9234573729845887,0.7423863246404655,0.42643764002987306,0.0
CELF,WC,gnutella_di,1,70,0.36940466740752503,0.3,0.011271630417526591,0.9229341488034465,0.7423745790406517,0.41896938013442864,0.0
CELF,WC,gnutella_di,1,71,0.3723924432449595,0.29,0.011430385775519924,0.9257634257062245,0.7511477735175599,0.41150112023898433,0.0
CELF,WC,gnutella_di,1,72,0.3735053183044928,0.28,0.011589141133513257,0.9233458059391574,0.7599740540655532,0.4040328603435399,0.0
CELF,WC,gnutella_di,1,73,0.37783140180981106,0.27,0.011747896491506588,0.9280748682505198,0.759628507325824,0.3965646004480956,0.0
CELF,WC,gnutella_di,1,74,0.37780758850611207,0.26,0.01190665184949992,0.927110788317424,0.7567125905674175,0.3890963405526512,0.0
CELF,WC,gnutella_di,1,75,0.3828988728369583,0.25,0.012065407207493254,0.9272715038214121,0.7565979920566024,0.3816280806572069,0.0
CELF,WC,gnutella_di,1,76,0.3828909350690586,0.24,0.012224162565486585,0.9269351189294435,0.7552724110211929,0.37415982076176246,0.0
CELF,WC,gnutella_di,1,77,0.3852182886172408,0.23,0.012382917923479918,0.9259957256438983,0.7637103411332231,0.36669156086631816,0.0
CELF,WC,gnutella_di,1,78,0.39082076520082554,0.22,0.012541673281473249,0.9287324589116072,0.7661417262795547,0.3599701269604182,0.0
CELF,WC,gnutella_di,1,79,0.3880917605969202,0.21,0.012700428639466582,0.92532769580694,0.7659363787046045,0.3525018670649739,0.0
CELF,WC,gnutella_di,1,80,0.39198444197491666,0.2,0.012859183997459915,0.9283433161049583,0.7642462380011578,0.34503360716952947,0.0
CELF,WC,gnutella_di,1,81,0.39471503413240194,0.19,0.013017939355453246,0.9297489229052919,0.7636552591414074,0.33756534727408516,0.0
CELF,WC,gnutella_di,1,82,0.3994538815685029,0.18,0.013176694713446579,0.9305227765556473,0.7585676686301954,0.33009708737864074,0.0
CELF,WC,gnutella_di,1,83,0.40056358152087634,0.17,0.013335450071439912,0.930441927414029,0.7532607177404703,0.32262882748319643,0.0
CELF,WC,gnutella_di,1,84,0.3990331798698206,0.16,0.013494205429433243,0.9299275785497162,0.7510269145701405,0.31590739357729647,0.0
CELF,WC,gnutella_di,1,85,0.3994030798539451,0.15,0.013652960787426576,0.9300775067306772,0.7481539909706199,0.30843913368185216,0.0
CELF,WC,gnutella_di,1,86,0.40316240673122716,0.14,0.013811716145419909,0.930584942642879,0.7430889008741968,0.3017176997759522,0.0
CELF,WC,gnutella_di,1,87,0.4045610414351484,0.13,0.01397047150341324,0.929600658727356,0.7416889846382104,0.2942494398805079,0.0
CELF,WC,gnutella_di,1,88,0.40462454357834576,0.12,0.014129226861406573,0.930198258527284,0.7398782948377158,0.2867811799850635,0.0
CELF,WC,gnutella_di,1,89,0.40620892205111925,0.11,0.014287982219399904,0.9292078118034012,0.7398426505514091,0.27931292008961917,0.0
CELF,WC,gnutella_di,1,90,0.40926813779965077,0.1,0.014446737577393237,0.9272619689656864,0.7450338211333085,0.27184466019417475,0.0
CELF,WC,gnutella_di,1,91,0.412355929512621,0.09,0.01460549293538657,0.9295076400964288,0.744879940167732,0.26437640029873044,0.0
CELF,WC,gnutella_di,1,92,0.4139657088426735,0.08,0.014764248293379901,0.9311613979013988,0.739983103534686,0.256908140403286,0.0
CELF,WC,gnutella_di,1,93,0.41642482933799013,0.07,0.014923003651373234,0.9342518403806912,0.7397608593656706,0.24943988050784172,0.0
CELF,WC,gnutella_di,1,94,0.417523416415304,0.06,0.015081759009366567,0.9340685202257222,0.7368186529483034,0.2419716206123973,0.0
