heuristic,model,graph,seed,k,spread,community,fairness,budget,time
CELF,WC,lastfm_un,0,78,0.18510196747114374,0.12458075132615473,0.09147010896909707,0.1389415525346588,0.005041109653725078
CELF,WC,lastfm_un,0,79,0.18573356505771246,0.12503138318066082,0.09188229572171996,0.13912608829887776,0.005041109653725078
CELF,WC,lastfm_un,0,80,0.18600901101783843,0.12553672376307914,0.0920309977113526,0.1392056663751666,0.005041109653725078
CELF,WC,lastfm_un,0,81,0.18652662644281218,0.12590694816503728,0.09231045550937014,0.13935155641458494,0.005041109653725078
CELF,WC,lastfm_un,0,82,0.18652662644281218,0.12612144794349192,0.09231045550937014,0.13935155641458494,0.005041109653725078
CELF,WC,lastfm_un,0,83,0.18670768625393494,0.12625262772620174,0.09240816413311174,0.13940102669618137,0.005041109653725078
CELF,WC,lastfm_un,0,84,0.18670768625393494,0.12625262998322098,0.09240817403062467,0.13940102669618137,0.005041109653725078
CELF,WC,lastfm_un,0,85,0.18670768625393494,0.12625385915832588,0.09240817403062467,0.13940102669618137,0.005041109653725078
CELF,WC,lastfm_un,0,86,0.18671962224554042,0.1262624271531317,0.09241461053581625,0.13940413663571638,0.005041109653725078
CELF,WC,lastfm_un,0,87,0.18685518100734524,0.12635936068070247,0.09248773534720595,0.13943880127662217,0.005041109653725078
CELF,WC,lastfm_un,0,88,0.18698314533053514,0.12645119295122598,0.09255673306602935,0.1394710055476876,0.005041109653725078
CELF,WC,lastfm_un,0,89,0.1870184942287513,0.12647617199246344,0.09257580254782179,0.13947978157102625,0.005041109653725078
CELF,WC,lastfm_un,0,90,0.187234129066107,0.12663176865783893,0.09269207738837258,0.13953187993954458,0.005041109653725078
CELF,WC,lastfm_un,0,91,0.18739644543546694,0.12674941006051021,0.09277958192636225,0.1395691026271477,0.005041109653725078
CELF,WC,lastfm_un,0,92,0.18742267838405038,0.12676817440210128,0.09279404933574834,0.1395750190088614,0.005041109653725078
CELF,WC,lastfm_un,0,93,0.18743130902413432,0.12677433024750526,0.09279870654945713,0.13957691813311351,0.005041109653725078
CELF,WC,lastfm_un,0,94,0.18752212749213013,0.12683975987264068,0.09284765025110883,0.13959639194808557,0.005041109653725078
CELF,WC,lastfm_un,0,95,0.1875715110178384,0.12687506500883133,0.09287426550559363,0.13960674874395146,0.005041109653725078
CELF,WC,lastfm_un,0,96,0.1876792759706191,0.12695214307226413,0.09293448547126308,0.13962905368125772,0.005041109653725078
CELF,WC,lastfm_un,0,97,0.18771209338929698,0.12697604693528136,0.09295228659807903,0.13963573037286642,0.005041109653725078
CELF,WC,lastfm_un,0,98,0.18771209338929698,0.12697604693528136,0.09295228659807903,0.13963573037286642,0.005041109653725078
CELF,WC,lastfm_un,0,99,0.18771209338929698,0.12697604693528136,0.09295228659807903,0.13963573037286642,0.005041109653725078
CELF,WC,lastfm_un,1,0,0.012835781741867785,0.0029234272907236736,0.002149292464861976,0.012543945073491332,0.0025671563483735563
CELF,WC,lastfm_un,1,1,0.024970553515215113,0.008183866878490074,0.005280985684777888,0.024223643085052343,0.004994110703043022
CELF,WC,lastfm_un,1,2,0.03648786726128017,0.013761744284079834,0.009120270845651198,0.03498397149016997,0.004994110703043022
CELF,WC,lastfm_un,1,3,0.044462631164742916,0.017925572925077318,0.012680581399877286,0.042268902164298815,0.004994110703043022
CELF,WC,lastfm_un,1,4,0.05392789874081847,0.02185172028658015,0.015364204786766117,0.050698964074468805,0.004994110703043022
CELF,WC,lastfm_un,1,5,0.06234631427072403,0.027974466043904717,0.019632886004958855,0.05806576517257119,0.004994110703043022
CELF,WC,lastfm_un,1,6,0.07058364375655823,0.03245299982014845,0.022323371098850582,0.06512341177372301,0.004994110703043022
CELF,WC,lastfm_un,1,7,0.07867722980062958,0.03972563002616007,0.02698667971604443,0.07187599858822653,0.004994110703043022
CELF,WC,lastfm_un,1,8,0.08711820566631688,0.04641728554747073,0.032171861823534334,0.07878716476807715,0.004994110703043022
CELF,WC,lastfm_un,1,9,0.09055815844700943,0.0489752299185197,0.03373737679614726,0.08155512886366119,0.004994110703043022
CELF,WC,lastfm_un,1,10,0.0965479275970619,0.05259808664419284,0.03597776113092895,0.08628166955321652,0.004994110703043022
